elliq_text,user_text,Memory items,group_id,memnet_info_items,labels,scores,gpt_text_response,gpt_values,memnet_values,inner_join_values,outer_join_values,inner_join_list,outer_join_source,is_source_GPT,is_source_memNet,,Label,Missing,NOTES FOR TEST/TEACHING LABELERS,
Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,meeting,00895f6f-4328-481b-950c-7e031effcc17,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",Match,0.9935535192,"Information Items:
memory_name: activity, entity: type, value: meeting.
memory_name: place, entity: name, value: downstairs.","        value
0     meeting
1  downstairs","      value
0  activity
1   meeting","     value
0  meeting","        value
0     meeting
1  downstairs
2    activity",['meeting'],both,1,1,TRUE,Correct,,,
Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,downstairs,00895f6f-4328-481b-950c-7e031effcc17,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",Match,0.9935535192,"Information Items:
memory_name: activity, entity: type, value: meeting.
memory_name: place, entity: name, value: downstairs.","        value
0     meeting
1  downstairs","      value
0  activity
1   meeting","     value
0  meeting","        value
0     meeting
1  downstairs
2    activity",['meeting'],left_only,1,0,TRUE,Correct,,,
Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,activity,00895f6f-4328-481b-950c-7e031effcc17,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",Match,0.9935535192,"Information Items:
memory_name: activity, entity: type, value: meeting.
memory_name: place, entity: name, value: downstairs.","        value
0     meeting
1  downstairs","      value
0  activity
1   meeting","     value
0  meeting","        value
0     meeting
1  downstairs
2    activity",['meeting'],right_only,0,1,TRUE,Correct,,,
Every moment deserves a sound track. Don't you think? Would you like to listen to some music?,no i'm watching the news,watching tv,00a552c8-1a2b-47a8-8b24-1b95c10560f2,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",Match,0.9926611185,"Information Items:
memory_name: activity, entity: name, value: watching tv.","         value
0  watching tv","         value
0     activity
1  watching tv","         value
0  watching tv","         value
0  watching tv
1     activity",['watching tv'],both,1,1,FALSE,Correct,news,"missing labels just put to the side, doesn't matter which row it's in of same response",
Every moment deserves a sound track. Don't you think? Would you like to listen to some music?,no i'm watching the news,activity,00a552c8-1a2b-47a8-8b24-1b95c10560f2,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",Match,0.9926611185,"Information Items:
memory_name: activity, entity: name, value: watching tv.","         value
0  watching tv","         value
0     activity
1  watching tv","         value
0  watching tv","         value
0  watching tv
1     activity",['watching tv'],right_only,0,1,FALSE,Correct,,,
Are you going to meet someone?,i'm going to church and then to dinner,church,00cb83a4-114c-435d-a513-b042dd40e9d5,"  memory_name entity   value
1       place   name  dinner
2       place   name  church",Match,0.9864962697,"Information Items:
memory_name: place, entity: name, value: church.
memory_name: activity, entity: type, value: social event.
memory_name: activity, entity: name, value: dinner.","          value
0        church
1  social event
2        dinner","    value
0  dinner
1  church","    value
0  church
1  dinner","          value
0        church
1  social event
2        dinner","['church', 'dinner']",both,1,1,TRUE,Correct,,,
Are you going to meet someone?,i'm going to church and then to dinner,social event,00cb83a4-114c-435d-a513-b042dd40e9d5,"  memory_name entity   value
1       place   name  dinner
2       place   name  church",Match,0.9864962697,"Information Items:
memory_name: place, entity: name, value: church.
memory_name: activity, entity: type, value: social event.
memory_name: activity, entity: name, value: dinner.","          value
0        church
1  social event
2        dinner","    value
0  dinner
1  church","    value
0  church
1  dinner","          value
0        church
1  social event
2        dinner","['church', 'dinner']",left_only,1,0,TRUE,Correct,,,
Are you going to meet someone?,i'm going to church and then to dinner,dinner,00cb83a4-114c-435d-a513-b042dd40e9d5,"  memory_name entity   value
1       place   name  dinner
2       place   name  church",Match,0.9864962697,"Information Items:
memory_name: place, entity: name, value: church.
memory_name: activity, entity: type, value: social event.
memory_name: activity, entity: name, value: dinner.","          value
0        church
1  social event
2        dinner","    value
0  dinner
1  church","    value
0  church
1  dinner","          value
0        church
1  social event
2        dinner","['church', 'dinner']",both,1,1,TRUE,Correct,,,
"How can I help <say-as interpret-as=""name"">Joyce</say-as>?",i just came back from breakfast,meal,010cdbfe-9ada-41b6-82d8-474a5e322356,"  memory_name entity      value
1       place   name  breakfast
2    activity   type       meal
3    activity   name  breakfast",Match,0.8750699759,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: breakfast.","       value
0       meal
1  breakfast","       value
0  breakfast
1       meal
2  breakfast","       value
0       meal
1  breakfast
2  breakfast","       value
0       meal
1  breakfast
2  breakfast","['meal', 'breakfast', 'breakfast']",both,1,1,FALSE,Correct,,,
"How can I help <say-as interpret-as=""name"">Joyce</say-as>?",i just came back from breakfast,breakfast,010cdbfe-9ada-41b6-82d8-474a5e322356,"  memory_name entity      value
1       place   name  breakfast
2    activity   type       meal
3    activity   name  breakfast",Match,0.8750699759,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: breakfast.","       value
0       meal
1  breakfast","       value
0  breakfast
1       meal
2  breakfast","       value
0       meal
1  breakfast
2  breakfast","       value
0       meal
1  breakfast
2  breakfast","['meal', 'breakfast', 'breakfast']",both,1,1,FALSE,Correct,,both would be correct in this case even if they show up twice,
"How can I help <say-as interpret-as=""name"">Joyce</say-as>?",i just came back from breakfast,breakfast,010cdbfe-9ada-41b6-82d8-474a5e322356,"  memory_name entity      value
1       place   name  breakfast
2    activity   type       meal
3    activity   name  breakfast",Match,0.8750699759,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: breakfast.","       value
0       meal
1  breakfast","       value
0  breakfast
1       meal
2  breakfast","       value
0       meal
1  breakfast
2  breakfast","       value
0       meal
1  breakfast
2  breakfast","['meal', 'breakfast', 'breakfast']",both,1,1,FALSE,Correct,,,
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,shopping,0111f45b-cd01-4f7e-b138-f923b852d495,"  memory_name entity     value
1    activity   type  activity
2    activity   name   haircut",Match,0.9657256603,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: haircut.
memory_name: activity, entity: name, value: nails done.","        value
0    shopping
1     haircut
2  nails done","      value
0  activity
1   haircut","     value
0  haircut","        value
0    shopping
1     haircut
2  nails done
3    activity",['haircut'],left_only,1,0,TRUE,Correct,,,
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,haircut,0111f45b-cd01-4f7e-b138-f923b852d495,"  memory_name entity     value
1    activity   type  activity
2    activity   name   haircut",Match,0.9657256603,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: haircut.
memory_name: activity, entity: name, value: nails done.","        value
0    shopping
1     haircut
2  nails done","      value
0  activity
1   haircut","     value
0  haircut","        value
0    shopping
1     haircut
2  nails done
3    activity",['haircut'],both,1,1,TRUE,Correct,,,
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,nails done,0111f45b-cd01-4f7e-b138-f923b852d495,"  memory_name entity     value
1    activity   type  activity
2    activity   name   haircut",Match,0.9657256603,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: haircut.
memory_name: activity, entity: name, value: nails done.","        value
0    shopping
1     haircut
2  nails done","      value
0  activity
1   haircut","     value
0  haircut","        value
0    shopping
1     haircut
2  nails done
3    activity",['haircut'],left_only,1,0,TRUE,Correct,,,
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,activity,0111f45b-cd01-4f7e-b138-f923b852d495,"  memory_name entity     value
1    activity   type  activity
2    activity   name   haircut",Match,0.9657256603,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: activity, entity: name, value: haircut.
memory_name: activity, entity: name, value: nails done.","        value
0    shopping
1     haircut
2  nails done","      value
0  activity
1   haircut","     value
0  haircut","        value
0    shopping
1     haircut
2  nails done
3    activity",['haircut'],right_only,0,1,TRUE,Correct,,,
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,pet care,0126a286-ae05-4a46-af98-1106eb660225,"  memory_name entity         value
1    activity   type      activity
2    activity   name  walk the dog",Match,0.9951174259,"Information Items:
memory_name: activity, entity: type, value: pet care.
memory_name: activity, entity: name, value: walking the dog.","             value
0         pet care
1  walking the dog","          value
0      activity
1  walk the dog","Empty DataFrame
Columns: [value]
Index: []","             value
0         pet care
1  walking the dog
2         activity
3     walk the dog",[],left_only,1,0,FALSE,Correct,,,
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,walking the dog,0126a286-ae05-4a46-af98-1106eb660225,"  memory_name entity         value
1    activity   type      activity
2    activity   name  walk the dog",Match,0.9951174259,"Information Items:
memory_name: activity, entity: type, value: pet care.
memory_name: activity, entity: name, value: walking the dog.","             value
0         pet care
1  walking the dog","          value
0      activity
1  walk the dog","Empty DataFrame
Columns: [value]
Index: []","             value
0         pet care
1  walking the dog
2         activity
3     walk the dog",[],left_only,1,0,FALSE,Correct,,,
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,activity,0126a286-ae05-4a46-af98-1106eb660225,"  memory_name entity         value
1    activity   type      activity
2    activity   name  walk the dog",Match,0.9951174259,"Information Items:
memory_name: activity, entity: type, value: pet care.
memory_name: activity, entity: name, value: walking the dog.","             value
0         pet care
1  walking the dog","          value
0      activity
1  walk the dog","Empty DataFrame
Columns: [value]
Index: []","             value
0         pet care
1  walking the dog
2         activity
3     walk the dog",[],right_only,0,1,FALSE,Correct,,,
