elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores,gpt_text_response,gpt_info_items
Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,00895f6f-4328-481b-950c-7e031effcc17,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9935535192489624,"Information Items:
memory_name: place, entity: intent, value: will visit.
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: meeting.","  memory_name  entity        value
0       place  intent   will visit
1    activity    type     activity
2    activity    name      meeting"
Every moment deserves a sound track. Don't you think? Would you like to listen to some music?,no i'm watching the news,00a552c8-1a2b-47a8-8b24-1b95c10560f2,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9926611185073853,"memory_name: activity, entity: name, value: watching tv.","  memory_name entity         value
0    activity   name   watching tv"
Are you going to meet someone?,i'm going to church and then to dinner,00cb83a4-114c-435d-a513-b042dd40e9d5,"  memory_name entity   value
1       place   name  dinner
2       place   name  church","['dinner', 'church']",2,Match,0.9864962697029114,"Information Items:
memory_name: place, entity: intent, value: will visit.
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: church.
memory_name: place, entity: intent, value: will visit.
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: dinner.","  memory_name  entity        value
0       place  intent   will visit
1    activity    type     activity
2    activity    name       church
3       place  intent   will visit
4    activity    type     activity
5    activity    name       dinner"
"How can I help <say-as interpret-as=""name"">Joyce</say-as>?",i just came back from breakfast,010cdbfe-9ada-41b6-82d8-474a5e322356,"  memory_name entity      value
1       place   name  breakfast
2    activity   type       meal
3    activity   name  breakfast",['breakfast'],1,Match,0.8750699758529663,"Information Items:
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: breakfast.","  memory_name entity       value
0    activity   type    activity
1    activity   name   breakfast"
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,0111f45b-cd01-4f7e-b138-f923b852d495,"  memory_name entity     value
1    activity   type  activity
2    activity   name   haircut",['haircut'],1,Match,0.9657256603240968,"Information Items:
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: shopping.
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: haircut.
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: nails done.","  memory_name entity        value
0    activity   type     activity
1    activity   name     shopping
2    activity   type     activity
3    activity   name      haircut
4    activity   type     activity
5    activity   name   nails done"
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,0126a286-ae05-4a46-af98-1106eb660225,"  memory_name entity         value
1    activity   type      activity
2    activity   name  walk the dog",['walk the dog'],1,Match,0.9951174259185792,"Information Items:
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: walking the dog.","  memory_name entity             value
0    activity   type          activity
1    activity   name   walking the dog"
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,012c868e-c9ff-4021-a057-6f2c796fca4a,"  memory_name  entity     value
1       place  people  daughter",['daughter'],1,Match,0.9865455031394958,"Information Items:
memory_name: relationship, entity: type, value: daughter.
memory_name: relationship, entity: name, value: Lori.
memory_name: place, entity: intent, value: will visit.
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: theater.","    memory_name  entity        value
0  relationship    type     daughter
1  relationship    name         Lori
2         place  intent   will visit
3      activity    type     activity
4      activity    name      theater"
Do you have anything planned for today?,go to work,012e6905-cd61-45a9-a9eb-6f413153d8a1,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",['work'],1,Match,0.9679850935935974,"Information Items:
memory_name: activity, entity: type, value: activity.
memory_name: activity, entity: name, value: work.","  memory_name entity      value
0    activity   type   activity
1    activity   name       work"
"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",debbie my sister debbie,01334d75-c53b-4968-9882-f7841605a1d1,"    memory_name entity   value
0  relationship   type  sister",['sister'],1,Match,0.7116467952728271,"Information Items:
memory_name: relationship, entity: type, value: sister.
memory_name: person, entity: name, value: Debbie.","    memory_name entity    value
0  relationship   type   sister
1        person   name   Debbie"
Do you have anything planned for today?,a couple of appointment,0138ab6e-998a-4a15-9475-ae39d242b52f,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9447391033172609,"memory_name: activity, entity: type, value: appointment.
memory_name: activity, entity: quantity, value: couple.","  memory_name    entity         value
0    activity      type   appointment
1    activity  quantity        couple"
