elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores,gpt_text_response,gpt_info_items,gpt_values,memnet_values,inner_join_values,outer_join_values,inner_join_list,outer_join_list
Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,00895f6f-4328-481b-950c-7e031effcc17,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9935535192489624,"Information Items:
memory_name: activity, entity: type, value: meeting.
memory_name: place, entity: name, value: downstairs.","  memory_name entity        value
0    activity   type      meeting
1       place   name   downstairs","        value
0     meeting
1  downstairs","      value
0  activity
1   meeting","     value
0  meeting","        value
0     meeting
1  downstairs
2    activity",['meeting'],meeting
Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,00895f6f-4328-481b-950c-7e031effcc17,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9935535192489624,"Information Items:
memory_name: activity, entity: type, value: meeting.
memory_name: place, entity: name, value: downstairs.","  memory_name entity        value
0    activity   type      meeting
1       place   name   downstairs","        value
0     meeting
1  downstairs","      value
0  activity
1   meeting","     value
0  meeting","        value
0     meeting
1  downstairs
2    activity",['meeting'],downstairs
Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,00895f6f-4328-481b-950c-7e031effcc17,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9935535192489624,"Information Items:
memory_name: activity, entity: type, value: meeting.
memory_name: place, entity: name, value: downstairs.","  memory_name entity        value
0    activity   type      meeting
1       place   name   downstairs","        value
0     meeting
1  downstairs","      value
0  activity
1   meeting","     value
0  meeting","        value
0     meeting
1  downstairs
2    activity",['meeting'],activity
Every moment deserves a sound track. Don't you think? Would you like to listen to some music?,no i'm watching the news,00a552c8-1a2b-47a8-8b24-1b95c10560f2,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9926611185073853,"Information Items:
memory_name: activity, entity: name, value: watching tv.","  memory_name entity         value
0    activity   name   watching tv","         value
0  watching tv","         value
0     activity
1  watching tv","         value
0  watching tv","         value
0  watching tv
1     activity",['watching tv'],watching tv
Every moment deserves a sound track. Don't you think? Would you like to listen to some music?,no i'm watching the news,00a552c8-1a2b-47a8-8b24-1b95c10560f2,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9926611185073853,"Information Items:
memory_name: activity, entity: name, value: watching tv.","  memory_name entity         value
0    activity   name   watching tv","         value
0  watching tv","         value
0     activity
1  watching tv","         value
0  watching tv","         value
0  watching tv
1     activity",['watching tv'],activity
Are you going to meet someone?,i'm going to church and then to dinner,00cb83a4-114c-435d-a513-b042dd40e9d5,"  memory_name entity   value
1       place   name  dinner
2       place   name  church","['dinner', 'church']",2,Match,0.9864962697029114,"Information Items:
memory_name: place, entity: name, value: church.
memory_name: activity, entity: type, value: social event.
memory_name: activity, entity: name, value: dinner.","  memory_name entity          value
0       place   name         church
1    activity   type   social event
2    activity   name         dinner","          value
0        church
1  social event
2        dinner","    value
0  dinner
1  church","    value
0  church
1  dinner","          value
0        church
1  social event
2        dinner","['church', 'dinner']",church
Are you going to meet someone?,i'm going to church and then to dinner,00cb83a4-114c-435d-a513-b042dd40e9d5,"  memory_name entity   value
1       place   name  dinner
2       place   name  church","['dinner', 'church']",2,Match,0.9864962697029114,"Information Items:
memory_name: place, entity: name, value: church.
memory_name: activity, entity: type, value: social event.
memory_name: activity, entity: name, value: dinner.","  memory_name entity          value
0       place   name         church
1    activity   type   social event
2    activity   name         dinner","          value
0        church
1  social event
2        dinner","    value
0  dinner
1  church","    value
0  church
1  dinner","          value
0        church
1  social event
2        dinner","['church', 'dinner']",social event
Are you going to meet someone?,i'm going to church and then to dinner,00cb83a4-114c-435d-a513-b042dd40e9d5,"  memory_name entity   value
1       place   name  dinner
2       place   name  church","['dinner', 'church']",2,Match,0.9864962697029114,"Information Items:
memory_name: place, entity: name, value: church.
memory_name: activity, entity: type, value: social event.
memory_name: activity, entity: name, value: dinner.","  memory_name entity          value
0       place   name         church
1    activity   type   social event
2    activity   name         dinner","          value
0        church
1  social event
2        dinner","    value
0  dinner
1  church","    value
0  church
1  dinner","          value
0        church
1  social event
2        dinner","['church', 'dinner']",dinner
"How can I help <say-as interpret-as=""name"">Joyce</say-as>?",i just came back from breakfast,010cdbfe-9ada-41b6-82d8-474a5e322356,"  memory_name entity      value
1       place   name  breakfast
2    activity   type       meal
3    activity   name  breakfast",['breakfast'],1,Match,0.8750699758529663,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: breakfast.","  memory_name entity       value
0    activity   type        meal
1    activity   name   breakfast","       value
0       meal
1  breakfast","       value
0  breakfast
1       meal
2  breakfast","       value
0       meal
1  breakfast
2  breakfast","       value
0       meal
1  breakfast
2  breakfast","['meal', 'breakfast', 'breakfast']",meal
"How can I help <say-as interpret-as=""name"">Joyce</say-as>?",i just came back from breakfast,010cdbfe-9ada-41b6-82d8-474a5e322356,"  memory_name entity      value
1       place   name  breakfast
2    activity   type       meal
3    activity   name  breakfast",['breakfast'],1,Match,0.8750699758529663,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: breakfast.","  memory_name entity       value
0    activity   type        meal
1    activity   name   breakfast","       value
0       meal
1  breakfast","       value
0  breakfast
1       meal
2  breakfast","       value
0       meal
1  breakfast
2  breakfast","       value
0       meal
1  breakfast
2  breakfast","['meal', 'breakfast', 'breakfast']",breakfast
