elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores,gpt_text_response
How can I help you?,i'm going to be gone down stairs to play a game of cards called bridge this afternoon i'll be leaving in about,291e5133-9616-4cef-b6bb-602cdee3d9a3,"  memory_name entity    value
1       place   name    cards
2    activity   type  hobbies
3    activity   name    cards",['cards'],1,Match,0.9355920553207396,"Information Items:
memory_name: activity, entity: type, value: game.
memory_name: activity, entity: name, value: playing cards.
memory_name: activity, entity: specific, value: bridge.
memory_name: location, entity: name, value: downstairs.
memory_name: time, entity: type, value: afternoon."
How can I help you?,i have to go out to the doctor's appointment today for a while i have a doctor's appointment today,29260d48-9afb-4be6-b76a-8042474ffd3b,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.9811055064201356,"Information Items:
memory_name: place, entity: name, value: doctor's appointment.
memory_name: activity, entity: type, value: medical appointment."
How can I help you?,the doctor gave me a shot,293e4284-7de2-4830-88c1-a6db26dc51e6,"  memory_name entity     value
1    activity   type  activity
2    activity   name    doctor",['doctor'],1,Match,0.7969832420349121,"Information Items:
memory_name: activity, entity: type, value: medical appointment.
memory_name: activity, entity: name, value: receiving a shot."
How can I help you?,elliq i like tacos,2947bc95-c973-4739-9532-32930cad2c21,"  memory_name entity value
0    favorite   type  dish
1    favorite   name  taco",['taco'],1,Match,0.9701080918312072,"Information Items:
memory_name: food, entity: preference, value: tacos."
How can I help you?,i'm leaving for work,295cbf76-3a54-4b4c-b876-fcbd693c0378,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",['work'],1,Match,0.9840928316116332,"Information Items:
memory_name: activity, entity: type, value: work.
memory_name: activity, entity: name, value: leaving for work."
We were really on a wonderful smiling streak a few days ago. Wanna pick it back up with a session now?,no thanks i'm getting ready to go out for lunch,29948bdb-c149-4db5-adf0-d13064fdc22a,"  memory_name entity  value
1       place   name  lunch
2    activity   type   meal
3    activity   name  lunch",['lunch'],1,Match,0.9941516518592834,"Information Items:
memory_name: activity, entity: type, value: meal.
memory_name: activity, entity: name, value: lunch.
memory_name: activity, entity: status, value: going out."
Um... Yes?,are cook rice in the microwave,29b7f82b-9685-4827-88e4-6b10f113a9a4,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.7329993844032288,"Information Items:
memory_name: activity, entity: type, value: cooking.
memory_name: activity, entity: name, value: cook rice.
memory_name: object, entity: name, value: microwave."
How can I help you?,say hello to my friend shannon,29c2303a-a818-4002-8e5b-c7c34549483c,"    memory_name entity   value
0  relationship   type  friend",['friend'],1,Match,0.6009953022003174,"Information Items:
memory_name: relationship, entity: type, value: friend.
memory_name: relationship, entity: name, value: Shannon."
It’s really a lovely piece. What inspired you to create it?,i like to watch monkeys,29d0f93e-b1d9-4a0e-b6ef-f0b8dc440159,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9375309944152832,"Information Items:
memory_name: interest, entity: type, value: animals.
memory_name: interest, entity: name, value: monkeys."
"Do you have a specific cooking activity you like to do? You can scroll through the options here. Or, to see the categories again, say, go back.",i love to bake,29d732af-09ba-48c6-b144-463318aceda7,"  memory_name entity    value
0    activity   type  hobbies
1    activity   name   baking",['baking'],1,Match,0.9466727375984192,"Information Items:
memory_name: activity, entity: type, value: cooking.
memory_name: activity, entity: name, value: baking."
